Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Facilities Service Center Representative,0600667,Facilities Management,0,Filled,"September 05, 2012 at 10:41 AM",44,6,General information available to applicants.,1,,"January 27, 2014 at 06:19 PM",24.07.2012,2012-08-16
HVAC Facilities Technician,0600669,HVAC Shop,0,Filled,"August 27, 2012 at 12:02 PM",9,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:19 PM",28.07.2012,2012-08-16
Curriculum Designer (2 openings),0600672,Curriculum Development,0,Filled,"September 11, 2012 at 02:28 PM",21,0,General salary information released to applicants.,1,,"January 27, 2014 at 06:19 PM",01.08.2012,2012-10-01
Carpenter,0600673,Facilities Service Center,0,Filled,"August 15, 2012 at 03:11 PM",37,0,General information available to applicants.,1,,"January 27, 2014 at 06:19 PM",25.07.2012,2012-08-01
Financial Aid Advisor,0600674,Student Financial Aid ,0,Filled,"September 05, 2012 at 10:41 AM",46,5,General information released to applicant inquiries.,1.0,,"January 27, 2014 at 06:19 PM",06.08.2012,2012-09-15
Full-time Faculty - Religious Education,0600676,Religious Education,0,Filled,"February 28, 2013 at 07:47 AM",43,5,Dependent on education and experience. Disclosed at interview time.,,,"January 27, 2014 at 06:19 PM",23.09.2012,2013-07-01
Career & Academic Advisor (2 openings; College of Agriculture & Life Sciences),0600675,Academic Discovery Center,0,Filled,"November 07, 2012 at 08:32 AM",58,8,General information released to applicants.,1,,"January 27, 2014 at 06:19 PM",06.08.2012,2012-09-15
Instructional Media Developer,0600671,Curriculum Development,0,Filled,"August 31, 2012 at 01:07 PM",10,0,General information available to applicants upon inquiry.,1,,"January 27, 2014 at 06:19 PM",01.08.2012,2012-10-01
Academic Discovery Center Specialist (1 year hire; benefit eligible),0600668,Academic Discovery Center,0,Filled,"September 14, 2012 at 09:31 AM",41,5,General information available to applicants.,1,,"January 27, 2014 at 06:19 PM",24.07.2012,2012-09-04
Salad Preparer,0600681,University Food Services,0,Filled,"November 07, 2012 at 08:31 AM",12,0,General information available to applicants,.60,No,"January 27, 2014 at 06:19 PM",25.08.2012,2012-09-16
Biology Lab Technician,0600678,Biology,0,Filled,"November 07, 2012 at 08:30 AM",11,1,General information available to applicants,.60,,"January 27, 2014 at 06:19 PM",29.08.2012,2012-09-10
Online Adjunct Faculty--FHGEN 130: Paleography,0600687,Online Learning Administration,0,Filled,"August 09, 2013 at 12:56 PM",4,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:19 PM",01.11.2012,2013-01-02
Online Adjunct Faculty--FHGEN 160: Family and the Law,0600689,Online Learning Administration,0,Filled,"September 15, 2016 at 04:59 PM",5,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:19 PM",01.11.2012,2013-01-02
Online Adjunct Faculty--CS 308: Technical Communication,0600685,Online Learning Administration,0,Filled,"November 30, 2012 at 02:34 PM",25,2,$900 per credit hour (2-credit course),,,"January 27, 2014 at 06:19 PM",01.11.2012,
Office/Lab Assistant,,Geology,0,Filled,"September 11, 2012 at 10:09 AM",15,0,General information available to applicants,.83,,"January 27, 2014 at 06:19 PM",31.08.2012,2012-09-15
Librarian,0600696,McKay Library,0,Filled,"November 07, 2012 at 08:28 AM",10,1,General information available to applicants.,1,,"January 27, 2014 at 06:19 PM",01.10.2012,2012-11-01
Groundskeeper,0600694,Grounds,0,Filled,"November 07, 2012 at 08:28 AM",37,2,Released to applicants upon inquiry.,1,,"January 27, 2014 at 06:19 PM",24.09.2012,2012-10-20
Online Adjunct Faculty--FHGEN 120: Internet and Computer Skills,0600688,Online Learning Administration,0,Filled,"November 30, 2012 at 02:31 PM",23,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:19 PM",01.11.2012,2013-01-02
"Online Adjunct Faculty--FHGEN 112: Intro to Family History Research 2, Analysis of Research Evidence",0600686,Online Learning Administration,0,Filled,"May 06, 2016 at 02:11 PM",14,0,,,,"January 27, 2014 at 06:19 PM",24.01.2014,
Office Assistant II,0601362,Information Technology,0,Closed,"December 04, 2014 at 08:10 AM",0,0,,1,,"January 27, 2014 at 06:19 PM",12.10.2011,2011-11-15
Temporary (1 year) Full-time Faculty - Automotive Technology,0600697,Automotive Technology,0,Filled,"February 28, 2013 at 07:45 AM",2,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:20 PM",30.09.2012,2013-01-01
Marketing and Events Coordinator,0600742,Academic Discovery Center,0,Filled,"January 16, 2013 at 04:12 PM",14,2,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",10.11.2012,2012-12-01
Full-time Faculty - Applied Plant Science (Soil Science & Agronomy),0600705,Applied Plant Science,0,Filled,"April 11, 2013 at 02:16 PM",9,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Temporary (1 Year) Faculty - American Foundations,0600677,Foundations & Interdisciplinary Studies,0,Filled,"February 28, 2013 at 07:47 AM",17,1,Dependent on Education and Experience,,,"January 27, 2014 at 06:20 PM",23.09.2012,2013-01-01
Office Assistant II,0600670,"Construct Mgmt, Arch, Int Des",0,Filled,"August 07, 2012 at 11:57 AM",50,4,General information available to applicants.,.96,,"January 27, 2014 at 06:20 PM",21.07.2012,2012-08-16
Full-time Faculty - Psychology,0600721,Psychology,0,Filled,"June 28, 2013 at 08:31 PM",8,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Full-time Faculty - Political Science,0600720,History/Geography/Poli Science,0,Filled,"June 28, 2013 at 08:29 PM",27,1,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Human Resources Specialist,,Human Resources,0,Filled,"September 05, 2012 at 10:40 AM",13,0,General information available to applicants,1.0,,"January 27, 2014 at 06:20 PM",20.08.2012,2012-09-17
Full-time Faculty - Economics,0600709,Economics,0,Filled,"April 19, 2013 at 05:02 PM",23,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Degree Audit Coordinator,0600691,Student Records & Registration,0,Filled,"November 07, 2012 at 08:29 AM",67,2,Available to applicants.,1,,"January 27, 2014 at 06:20 PM",03.09.2012,2012-10-01
Office Assistant,0600702,Academic Discovery Center,0,Filled,"January 02, 2013 at 12:19 PM",38,4,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",13.10.2012,
Event Coordinator,0601363,Events Management,0,Closed,"December 04, 2014 at 08:13 AM",0,0,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",16.10.2012,2012-11-01
Online Adjunct Faculty--NURS 316: Professional Seminar (BSN),0600690,Online Learning Administration,1,Filled,"September 02, 2016 at 05:08 PM",16,0,$900 per credit hour (2-credit course),,,"January 27, 2014 at 06:20 PM",04.10.2012,2013-01-02
Online Adjunct Faculty--CIT 230: Web Fundamentals,0600684,Online Learning Administration,2,Filled,"June 22, 2015 at 12:47 PM",23,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",26.09.2012,
Full-time Faculty - Biology (Education),0600728,Biology,0,Filled,"April 19, 2013 at 04:49 PM",25,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Payroll Accountant,0600724,Financial Services,0,Filled,"November 07, 2012 at 08:28 AM",20,1,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",20.10.2012,2012-11-01
Full-time Faculty - Construction Management,0600730,Design and Construction Management,0,Filled,"June 28, 2013 at 07:50 PM",22,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Full-time Faculty - Communication (Visual Media),0600732,Communication,0,Filled,"June 28, 2013 at 07:48 PM",19,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Full-time Faculty - Art (Animation),0600725,Art,0,Filled,"March 26, 2013 at 08:50 PM",5,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Full-time Faculty - Mechanical Engineering (Welding),0600731,Mechanical and Civil Engineering,0,Filled,"May 27, 2016 at 08:49 AM",8,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Temporary (1 Year) Full-Time Faculty - Health Science (Public Health),0600737,Human Performance & Recreation,0,Filled,"April 11, 2013 at 04:06 PM",7,0,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
Press and Bindery Operator (Temporary),0600700,University Press,0,Filled,"January 04, 2013 at 10:07 AM",4,0,General information available to applicants.,,,"January 27, 2014 at 06:20 PM",02.10.2012,2012-10-15
HVAC Facilities Technician,0600739,HVAC Shop,0,Filled,"January 02, 2013 at 12:19 PM",7,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",27.10.2012,2012-11-16
Office Assistant I,0600984,Humanities & Philosophy,0,Closed,"January 28, 2014 at 09:04 AM",13,0,,.60,,"January 27, 2014 at 06:20 PM",30.11.2012,2012-12-10
Full-time Faculty - Teacher Education (Elementary Education),0600733,Teacher Education,0,Filled,"April 19, 2013 at 05:16 PM",54,1,Dependent on education and experience.,,,"January 27, 2014 at 06:20 PM",02.12.2012,2013-08-19
News and Broadcasting Specialist,0600743,University Communications,0,Filled,"January 02, 2013 at 12:18 PM",10,1,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",06.11.2012,2012-12-01
Remote Housing Manager -  Las Vegas,0600748,Housing & Student Living,0,Filled,"January 02, 2013 at 12:46 PM",7,0,"Free rent & utilities (electric, water, sewer, garbage, internet)",.25,,"January 27, 2014 at 06:20 PM",01.12.2012,2012-12-07
Online Adjunct Faculty--ENG 106: Basic Writing,0600750,Online Learning Administration,0,Filled,"May 02, 2013 at 12:11 PM",81,2,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",09.01.2013,2013-04-01
Carpenter Foreman,0600746,Structural Shop,0,Filled,"January 02, 2013 at 12:17 PM",25,1,General information released to applicants.,1,,"January 27, 2014 at 06:20 PM",30.11.2012,2013-01-01
Nurse Practitioner or Physician Assistant,0600747,Student Health Center,0,Filled,"June 20, 2013 at 03:16 PM",10,0,Offer based on experience of candidate and the reduced yearly schedule related to academic breaks,.75,,"January 27, 2014 at 06:20 PM",15.12.2012,2013-03-01
Custodian,0600740,Custodial Services,0,Filled,"January 02, 2013 at 12:24 PM",34,1,General information released to applicant inquiry.,1.0,,"January 27, 2014 at 06:20 PM",27.10.2012,2012-11-16
Event Services Supervisor,0600741,Events Management,0,Filled,"January 02, 2013 at 12:18 PM",37,1,General information available to applicants,1,,"January 27, 2014 at 06:20 PM",03.11.2012,2012-11-16
Online Adjunct Faculty--B 499B: Business Writing Capstone,0600751,Online Learning Administration,2,Filled,"June 22, 2015 at 11:39 AM",13,0,$900 per credit hour (1-credit course),,,"January 27, 2014 at 06:20 PM",07.01.2013,2013-04-01
Online Adjunct Faculty--CS 313: Web Engineering II,0600755,Online Learning Administration,0,Filled,"November 21, 2013 at 02:44 PM",10,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",14.01.2013,2013-04-01
Online Adjunct Faculty--CIT 220: Intro to Databases,0600753,Online Learning Administration,14,Closed,"January 15, 2013 at 12:01 AM",19,1,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",14.01.2013,2013-04-01
Office Assistant I,0600749,Humanities & Philosophy,0,Filled,"December 13, 2012 at 03:37 PM",48,0,General information available to applicants,.60,,"January 27, 2014 at 06:20 PM",11.12.2012,2013-01-02
"Carpenter Services Supervisor, Project Coordinator",0600745,Structural Shop,0,Filled,"January 02, 2013 at 12:17 PM",32,0,General information available to applicants,1,,"January 27, 2014 at 06:20 PM",30.11.2012,2013-01-01
Online Adjunct Faculty--FAML 150: Introduction to Marriage and Family Studies,0600757,Online Learning Administration,6,Filled,"August 09, 2013 at 11:12 AM",30,0,$900 per credit hour (1-credit course),,,"January 27, 2014 at 06:20 PM",07.01.2013,2013-04-01
Online Adjunct Faculty--WDD 100: Introduction to Web Design,0600759,Online Learning Administration,2,Filled,"November 21, 2013 at 04:47 PM",11,0,$900 per credit hour (1-credit course),,,"January 27, 2014 at 06:20 PM",14.01.2013,2013-04-01
Online Adjunct Faculty--HS 285: Hospital and Health Administration,0600758,Online Learning Administration,1,Filled,"September 09, 2016 at 09:26 AM",26,2,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",14.01.2013,2013-04-01
Online Adjunct Faculty--ECEN 150: Electric Circuit Analysis I,0600756,Online Learning Administration,3,Filled,"May 26, 2015 at 12:36 PM",12,0,$900 per credit hour (3-credit course),,,"January 27, 2014 at 06:20 PM",14.01.2013,2013-04-01
Software Engineer,0600767,Information Technology,0,Filled,"June 20, 2013 at 03:15 PM",11,0,General info available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",12.01.2013,2013-02-01
Housing Manager,0600766,Housing & Student Living,0,Filled,"January 02, 2013 at 12:14 PM",28,0,Monthly stipend plus 2 bdr apartment (utilities & local phone included),.7,,"January 27, 2014 at 06:20 PM",15.12.2012,2013-01-01
Technology Engineer (3 openings),0600764,Information Technology,0,Filled,"August 22, 2013 at 12:33 PM",26,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",05.01.2013,2013-02-01
Academic Business Officer,0600768,Academic Office,0,Filled,"December 12, 2012 at 02:04 PM",0,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",12.01.2013,2013-02-01
Software Engineer,0600765,Information Technology,0,Filled,"June 20, 2013 at 03:16 PM",9,1,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",05.01.2013,2012-01-16
Temporary (1 Year) Full-time Faculty - Music (Strings),,Music,0,Filled,"June 28, 2013 at 08:03 PM",1,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:20 PM",10.04.2013,2013-04-22
Speaking Partner Specialist,0600772,Online Degrees & Services,0,Filled,"June 20, 2013 at 03:16 PM",47,1,General information available to applicant inquiry.,1,,"January 27, 2014 at 06:20 PM",02.01.2013,2013-02-01
Academic Business Officer,0600769,Academic Office,0,Filled,"December 12, 2012 at 02:15 PM",0,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",12.01.2013,2013-02-01
Academic Business Officer,0600770,Academic Office,0,Filled,"June 20, 2013 at 03:14 PM",10,0,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",12.01.2013,2013-02-01
Office Assistant III,,Academic Office,0,Filled,"March 06, 2013 at 04:26 AM",4,0,,1,,"January 27, 2014 at 06:20 PM",28.01.2013,2013-03-01
Office Assistant III,0601364,Academic Office,0,Closed,"December 04, 2014 at 08:14 AM",0,0,,1,,"January 27, 2014 at 06:20 PM",28.01.2013,2013-03-01
Groundskeeper,0600774,Grounds,0,Filled,"June 20, 2013 at 03:14 PM",38,1,Released to applicants upon inquiry.,1,,"January 27, 2014 at 06:20 PM",26.01.2013,2013-03-01
Career & Academic Advisor,0600773,Academic Discovery Center,0,Filled,"February 08, 2013 at 11:45 AM",76,3,General information released to applicants.,1,,"January 27, 2014 at 06:20 PM",23.01.2013,2013-03-01
Food Services Manager,0600779,University Food Services,0,Filled,"April 10, 2013 at 02:09 PM",21,0,General information available to applicants.,1,No,"January 27, 2014 at 06:20 PM",18.02.2013,2013-04-01
Student Support Coordinator,0600783,Student Support,0,Filled,"March 21, 2013 at 11:07 AM",61,5,General information available to applicants.,1.0,,"January 27, 2014 at 06:20 PM",23.02.2013,2013-03-16
University Village Manager,0600785,Housing & Student Living,0,Filled,"June 20, 2013 at 03:12 PM",28,1,,.70,,"January 27, 2014 at 06:20 PM",12.03.2013,2013-04-01
Piano Technician,0600780,Music,0,Filled,"June 20, 2013 at 03:10 PM",7,0,General information available to applicants.,1.00,,"January 27, 2014 at 06:20 PM",04.03.2013,2013-04-01
Human Resources Assistant (PT),0600781,Online Learning Administration,0,Filled,"March 25, 2013 at 04:43 PM",43,2,General information available to applicants.,.50,,"January 27, 2014 at 06:20 PM",02.03.2013,2013-04-01
Building Custodian,0600791,Custodial Services,0,Filled,"June 20, 2013 at 03:11 PM",26,0,General information available to applicants.,.75,,"January 27, 2014 at 06:20 PM",28.03.2013,2013-04-08
Security Officer,0600792,University Security & Safety,0,Filled,"June 19, 2013 at 01:59 PM",42,2,General information available to applicants.,.75,,"January 27, 2014 at 06:20 PM",19.04.2013,2013-05-01
Office Assistant,0600786,Pathway - International,0,Filled,"April 22, 2013 at 01:51 PM",34,2,General information available to applicants.,1,,"January 27, 2014 at 06:20 PM",30.03.2013,
Project Coordinator,0600784,Pathway - International,0,Filled,"June 20, 2013 at 03:09 PM",60,5,General information available to applicants.,1.00,,"January 27, 2014 at 06:20 PM",11.03.2013,2013-04-08
