Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Online Adjunct Faculty--Pakistan,0600081,Continuing Education,0,Filled,"February 10, 2009 at 05:05 PM",4,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",22.01.2009,
Library Assistant II,,McKay Library,0,Filled,"November 24, 2009 at 08:19 AM",3,0,"Pay scale begins at $28,000/yr; employees should consult with HR for more specific information",1,,"January 27, 2014 at 06:17 PM",22.10.2009,2009-11-16
Full-time Faculty - Theatre,0600094,Academic Office,0,Filled,"June 11, 2009 at 01:11 PM",15,1,Dependent on Education and Experience,,,"January 27, 2014 at 06:17 PM",01.04.2009,2009-08-24
Buyer,,Purchasing & Travel,0,Filled,"December 17, 2009 at 04:55 PM",10,0,"Pay scale begins at $44,000/yr; employees should consult with HR for more specific information",1,,"January 27, 2014 at 06:17 PM",22.10.2009,2009-11-16
"Online Adjunct Faculty--Religion, Book of Mormon (2 openings)",0600084,Continuing Education,0,Filled,"February 10, 2009 at 05:08 PM",33,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",22.01.2009,
IT Infrastructure Director,,Infrastructure,0,Filled,"December 17, 2009 at 04:48 PM",1,0,"Pay scale minimum begins at $74,700/yr; experience considered in offer",1,,"January 27, 2014 at 06:17 PM",30.11.2009,2010-01-01
Entry Level Cook,0600102,University Food Services,0,Filled,"April 08, 2009 at 09:46 AM",16,0,Minimum base is $8.34/hr; offer will consider relevant experience,1.0,No,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-01
Office Assistant I,0600195,Continuing Education,0,Filled,"December 16, 2009 at 04:49 PM",51,0,Pay scale starts at a minimum of $12.51/hr,.50,,"January 27, 2014 at 06:17 PM",01.12.2009,2009-12-16
Online Adjunct Faculty--FDENG 101,,Continuing Education,0,Filled,"June 29, 2009 at 11:52 AM",1,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",05.06.2009,
Online Adjunct Faculty--World Foundations,0600082,Continuing Education,0,Filled,"February 10, 2009 at 05:07 PM",14,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",22.01.2009,
Full-time Faculty - Cognitive Psychology,0600198,Academic Office,0,Filled,"October 28, 2010 at 03:57 PM",10,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",31.01.2010,2010-08-23
Full-time Faculty - Horticulture,0600199,Academic Office,0,Filled,"October 28, 2010 at 03:37 PM",13,0,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",15.03.2010,2010-08-23
Online Adjunct Faculty--World Foundations 101,0600109,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",12,0,,,,"January 27, 2014 at 06:17 PM",01.06.2009,
Online Adjunct Faculty--FAML 300 Marriage,0600124,Continuing Education,2,Filled,"July 30, 2009 at 11:56 AM",45,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--Humanities Foundations 101,0600110,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",15,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",01.06.2009,
Online Adjunct Faculty--Drawing I (ART 110),0600087,Continuing Education,0,Filled,"April 20, 2009 at 10:03 AM",7,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Cook (2 Openings),0600202,University Food Services,0,Filled,"February 10, 2010 at 08:46 AM",38,0,Payscale begins at a minimum of $11.28/hr,1,No,"January 27, 2014 at 06:17 PM",18.01.2010,2010-02-01
Business Intelligence Analyst,0600203,Software Engineering,0,Filled,"February 10, 2010 at 08:55 AM",6,2,"Payscale starts at $57,000; experience & skills considered for offer",1,,"January 27, 2014 at 06:17 PM",18.01.2010,2010-03-01
Full-time Faculty - Nursing,0600201,Academic Office,0,Filled,"October 28, 2010 at 03:18 PM",6,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
Online Adjunct Faculty--American Foundations,0600095,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",21,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Full-time Faculty - English,0600207,Academic Office,0,Filled,"October 28, 2010 at 03:38 PM",15,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
Full-time Faculty - Religious Education,0600208,Academic Office,0,Filled,"April 19, 2010 at 08:02 AM",41,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
Online Adjunct Faculty--Math for the Real World,0600097,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",13,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Online Adjunct Faculty--GS 105 College Success Online,0600114,Continuing Education,0,Filled,"June 11, 2009 at 10:06 AM",53,3,$750 per credit hour,1,,"January 27, 2014 at 06:17 PM",01.06.2009,
Online Adjunct Faculty--English 450,0600108,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",16,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",01.06.2009,
Learn to Swim Program Director,0600104,Continuing Education,0,Filled,"April 22, 2009 at 04:00 PM",4,0,"$1,560 salary for swim season",,,"January 27, 2014 at 06:17 PM",13.04.2009,2009-05-25
Online Adjunct Faculty--SOC 111 Intro to Sociology,0600113,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",30,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",01.06.2009,
Online Adjunct Faculty--World Foundations (2 Openings),0600099,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",12,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Online Adjunct Faculty--Professional Communication,0600096,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",23,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Nurse Practitioner,0600210,Student Health Center,0,Filled,"April 15, 2010 at 08:57 AM",4,0,"Based on reduced yearly schedule due to academic breaks: payscale starts at $54,810, offer DOE",.75,,"January 27, 2014 at 06:17 PM",08.02.2010,2010-03-01
Online Adjunct Faculty--FDWLD 101 World Foundations,0600140,Online Learning Administration,0,Filled,"July 30, 2009 at 10:25 AM",14,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
Bakery Supervisor,0600211,University Food Services,0,Filled,"February 10, 2010 at 08:57 AM",7,0,"Payscale begins at $35,650/yr",1,No,"January 27, 2014 at 06:17 PM",26.01.2010,2010-03-01
Online Adjunct Faculty--SPAN 101 Beginning Spanish I,0600128,Continuing Education,0,Filled,"July 29, 2009 at 05:23 PM",22,1,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Degrees Manager,0600219,Online Learning Administration,0,Filled,"June 16, 2010 at 09:08 AM",65,1,"Pay scale begins at $50,650/yr",1,,"January 27, 2014 at 06:17 PM",24.02.2010,
Online Adjunct Faculty--FDREL 301 Old Testament,0600127,Continuing Education,2,Filled,"May 01, 2015 at 04:48 PM",26,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--B341 Marketing Management,0600120,Continuing Education,0,Filled,"July 30, 2009 at 11:05 AM",18,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--B361 Operations Management,0600121,Continuing Education,0,Filled,"July 30, 2009 at 11:06 AM",28,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--FDCNC 250 Foundations Capstone: Analytical Thinking and Moral Judgment,0600125,Continuing Education,0,Filled,"July 29, 2009 at 05:21 PM",37,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--Bio 264 Human Anatomy & Physiology I,0600122,Continuing Education,0,Filled,"July 30, 2009 at 11:09 AM",11,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
"Full-time Faculty - Agribusiness, Plant and Animal Sciences",0600226,Academic Office,0,Filled,"October 28, 2010 at 03:05 PM",3,1,Dependent on Education and Experience,,,"January 27, 2014 at 06:17 PM",31.03.2010,2010-08-23
Student Recruitment Coordinator,,Admissions,0,Filled,"July 21, 2009 at 10:20 AM",16,1,"Pay scale begins at $44,000/yr",1,,"January 27, 2014 at 06:17 PM",30.06.2009,2009-08-01
Online Adjunct Faculty--FDREL 211 New Testament,0600126,Continuing Education,2,Filled,"May 01, 2015 at 03:47 PM",37,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--ENG 106 Basic Writing,0600130,Continuing Education,0,Filled,"July 29, 2009 at 05:32 PM",45,1,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--FDMAT 108 Math for the Real World,0600133,Online Learning Administration,0,Filled,"July 29, 2009 at 05:37 PM",22,1,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
Online Adjunct Faculty--FDAMF 101 American Foundations,0600132,Online Learning Administration,0,Filled,"July 30, 2009 at 10:19 AM",31,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
HVAC Supervisor,0600236,HVAC Shop,0,Filled,"May 25, 2010 at 12:21 PM",14,0,"Pay scale begins at $57,000/yr",1,,"January 27, 2014 at 06:17 PM",29.03.2010,2010-05-01
Online Adjunct Faculty--FDENG 101,,Online Learning Administration,0,Filled,"January 04, 2012 at 02:29 PM",1,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",03.07.2009,
Plumber/Pipefitter,0600237,Mechanical / Plumbing,0,Filled,"April 19, 2010 at 10:34 AM",26,0,"Pay scale begins at $44,950/yr",1,,"January 27, 2014 at 06:17 PM",29.03.2010,2010-05-01
